candidate_id,rank,score,reasoning
CAND_0000031,1,0.792489,Ranked #1: 6 yrs applied ML/AI; product company background (currently-Swiggy); verified MLflow (verified 75/100); consistent AI/ML career progression. Strong availability: actively open to work; strong recruiter responsiveness (91%).
CAND_0000014,2,0.717111,Ranked #2: 8 yrs applied ML/AI; product company background (currently-Zomato); verified FAISS (verified 78/100); consistent AI/ML career progression. Concerns: 90-day notice (above preferred); not flagged open-to-work.
CAND_0000033,3,0.666811,Ranked #3: 9 yrs applied ML/AI; product company background (ex-Dunder Mifflin); consistent AI/ML career progression. Concerns: low recruiter response rate (8%).
CAND_0000007,4,0.666622,Ranked #4: 6 yrs applied ML/AI; product company background (ex-Initech); consistent AI/ML career progression. Concerns: not flagged open-to-work.
CAND_0000048,5,0.663256,Ranked #5: 10 yrs applied ML/AI; product company background (currently-CRED); consistent AI/ML career progression. Concerns: 120-day notice (well above 30-day preferred).
CAND_0000032,6,0.656864,Ranked #6: 8 yrs applied ML/AI; product company background (ex-Globex Inc); consistent AI/ML career progression. Concerns: 150-day notice (well above 30-day preferred); last active 183 days ago (availability risk); not flagged open-to-work.
CAND_0000038,7,0.65211,Ranked #7: 7 yrs applied ML/AI; product company background (currently-Swiggy); consistent AI/ML career progression. Concerns: 90-day notice (above preferred); low recruiter response rate (20%).
CAND_0000016,8,0.631711,Ranked #8: 5 yrs applied ML/AI; product company background (ex-Globex Inc). Concerns: last active 191 days ago (availability risk).
CAND_0000029,9,0.622388,Ranked #9: 7 yrs applied ML/AI; product company background (ex-Globex Inc); consistent AI/ML career progression. Concerns: last active 274 days ago (availability risk); not flagged open-to-work; low recruiter response rate (12%).
CAND_0000005,10,0.612745,Ranked #10: 11 yrs applied ML/AI; product company background (currently-Stark Industries); consistent AI/ML career progression. Concerns: last active 272 days ago (availability risk).
